"filename", "language", "TypeScript", "JSON", "Markdown", "JavaScript", "Vue", "HTML", "SCSS", "comment", "blank", "total"
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\api\user.js", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 9, 7, 53
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\main.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 4, 15
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\manifest.json", "JSON", 0, 71, 0, 0, 0, 0, 0, 0, 5, 76
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages.json", "JSON", 0, 150, 0, 0, 0, 0, 0, 0, 0, 150
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\Login\Login.vue", "Vue", 0, 0, 0, 0, 146, 0, 0, 59, 33, 238
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\childReports\childReports.vue", "Vue", 0, 0, 0, 0, 248, 0, 0, 3, 22, 273
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\doctorChat\doctorChat.vue", "Vue", 0, 0, 0, 0, 356, 0, 0, 15, 56, 427
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\doctorProfile\doctorProfile.vue", "Vue", 0, 0, 0, 0, 143, 0, 0, 0, 17, 160
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\index\aiBodyCheck\aiBodyCheck.vue", "Vue", 0, 0, 0, 0, 79, 0, 0, 0, 9, 88
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\index\articles\articleDetails\articleDetails.vue", "Vue", 0, 0, 0, 0, 149, 0, 0, 4, 17, 170
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\index\articles\articles.vue", "Vue", 0, 0, 0, 0, 177, 0, 0, 2, 25, 204
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\index\consultDoctors\consultDoctors.vue", "Vue", 0, 0, 0, 0, 186, 0, 0, 7, 24, 217
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\index\index.vue", "Vue", 0, 0, 0, 0, 145, 0, 0, 7, 16, 168
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\message\message.vue", "Vue", 0, 0, 0, 0, 235, 0, 0, 2, 36, 273
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\my\childProfile\childProfile.vue", "Vue", 0, 0, 0, 0, 328, 0, 0, 2, 33, 363
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\my\doctorApplications\doctorApplications.vue", "Vue", 0, 0, 0, 0, 160, 0, 0, 1, 17, 178
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\my\evaluationRecords\evaluationRecords.vue", "Vue", 0, 0, 0, 0, 175, 0, 0, 1, 23, 199
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\my\my.vue", "Vue", 0, 0, 0, 0, 178, 0, 0, 9, 23, 210
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\my\myDoctors\myDoctors.vue", "Vue", 0, 0, 0, 0, 177, 0, 0, 1, 17, 195
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\reportDetails\reportDetails.vue", "Vue", 0, 0, 0, 0, 172, 0, 0, 1, 17, 190
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\selectProfile\selectProfile.vue", "Vue", 0, 0, 0, 0, 132, 0, 0, 0, 13, 145
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\pages\uploadPhotos\uploadPhotos.vue", "Vue", 0, 0, 0, 0, 181, 0, 0, 4, 24, 209
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\store\index.js", "JavaScript", 0, 0, 0, 164, 0, 0, 0, 7, 9, 180
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\uni.promisify.adaptor.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\uni.scss", "SCSS", 0, 0, 0, 0, 0, 0, 37, 25, 15, 77
"c:\Users\susen\Desktop\bodybaby\bodybaby\wxfront\src\utils\request.js", "JavaScript", 0, 0, 0, 38, 0, 0, 0, 3, 4, 45
"Total", "-", 11, 22684, 19, 1012, 3401, 21, 37, 277, 616, 28078
